ts,ts.1,board_temp,cap_fill_base,cap_fill_actual
1775839371626307,2248012782,15,100,118.5796890258789
1775839371652452,2248042783,15,100,118.5796890258789
1775839371670643,2248072782,16,100,118.5796890258789
1775839371695732,2248102783,15,100,118.5796890258789
1775839371730304,2248132783,15,100,118.5796890258789
1775839371757411,2248162781,15,100,118.5796890258789
1775839371790925,2248192782,15,100,118.5796890258789
1775839371816918,2248222766,15,100,118.5796890258789
1775839371857743,2248252783,15,100,118.5796890258789
1775839371898094,2248282778,16,100,118.5796890258789
1775839371923715,2248312782,15,100,118.5796890258789
1775839371983201,2248342781,15,100,118.5796890258789
1775839372010137,2248372782,15,100,118.5796890258789
1775839372031759,2248402782,15,100,118.5796890258789
1775839372067448,2248432775,16,100,118.5796890258789
1775839372089621,2248462782,15,100,118.5796890258789
1775839372113478,2248492752,15,100,118.5796890258789
1775839372141560,2248522782,15,100,118.5796890258789
1775839372171841,2248552774,15,100,118.5796890258789
1775839372202513,2248582782,15,100,118.5796890258789
1775839372226397,2248610759,15,100,118.5796890258789
1775839372252892,2248640780,15,100,118.5796890258789
1775839372279975,2248670782,15,100,118.5796890258789
1775839372323246,2248700782,15,100,118.5796890258789
1775839372339858,2248730782,15,100,118.5796890258789
1775839372376680,2248760782,15,100,118.5796890258789
1775839372394878,2248790782,15,100,118.5796890258789
1775839372420136,2248820754,16,100,118.5796890258789
1775839372459190,2248850782,15,100,118.5796890258789
1775839372485285,2248880781,15,100,118.5796890258789
1775839372511800,2248910825,15,100,118.5796890258789
1775839372532387,2248940760,15,100,118.5796890258789
1775839372557591,2248971787,15,100,118.5796890258789
1775839372616853,2249001788,15,100,118.5796890258789
1775839372640422,2249031771,16,100,118.5796890258789
1775839372670493,2249061782,15,100,118.5796890258789
1775839372694222,2249091782,15,100,118.5796890258789
1775839372721287,2249121782,15,100,118.5796890258789
1775839372758485,2249151766,15,100,118.5796890258789
1775839372785122,2249181782,16,100,118.5796890258789
1775839372809054,2249211783,15,100,118.5796890258789
1775839372832200,2249241783,15,100,118.5796890258789
1775839372858045,2249271783,15,100,118.5796890258789
1775839372902071,2249301783,15,100,118.5796890258789
1775839372924640,2249331783,15,100,118.5796890258789
1775839372951531,2249361782,16,100,118.5796890258789
1775839372972432,2249391783,15,100,118.5796890258789
1775839373000767,2249421781,15,100,118.5796890258789
1775839373037505,2249451779,16,100,118.5796890258789
1775839373066133,2249481765,16,100,118.5796890258789
1775839373089966,2249511783,16,100,118.5796890258789
1775839373113157,2249541779,15,100,118.5796890258789
1775839373144962,2249571781,16,100,118.5796890258789
1775839373175072,2249601781,16,100,118.5796890258789
1775839373200616,2249631782,15,100,118.5796890258789
1775839373226873,2249661782,15,100,118.5796890258789
1775839373264406,2249691775,15,100,118.5796890258789
1775839373281119,2249721783,15,100,118.5796890258789
1775839373330815,2249751760,16,100,118.5796890258789
1775839373360351,2249781782,15,100,118.5796890258789
1775839373387456,2249811774,15,100,118.5796890258789
1775839373414062,2249841782,15,100,118.5796890258789
1775839373457762,2249871759,15,100,118.5796890258789
1775839373472917,2249901817,16,100,118.5796890258789
1775839373498128,2249931786,16,100,118.5796890258789
1775839373530636,2249961792,15,100,118.5796890258789
1775839373580522,2249991786,15,100,118.5796890258789
1775839373597510,2250021782,15,100,118.5796890258789
1775839373614770,2250051782,15,100,118.5796890258789
1775839373639369,2250081754,15,100,118.5796890258789
1775839373675314,2250111782,15,100,118.5796890258789
1775839373699058,2250141778,15,100,118.5796890258789
1775839373739354,2250171782,16,100,118.5796890258789
1775839373778085,2250201760,15,100,118.5796890258789
1775839373798003,2250231780,15,100,118.5796890258789
1775839373830924,2250261782,15,100,118.5796890258789
1775839373859218,2250291771,15,100,118.5796890258789
1775839373882396,2250321781,16,100,118.5796890258789
1775839373935430,2250351781,16,100,118.5796890258789
1775839373976578,2250381782,15,100,118.5796890258789
1775839373995722,2250411766,15,100,118.5796890258789
1775839374021212,2250441782,16,100,118.5796890258789
1775839374042539,2250471783,15,100,118.5796890258789
1775839374092142,2250501782,16,100,118.5796890258789
1775839374110947,2250531783,15,100,118.5796890258789
1775839374143426,2250561783,15,100,118.5796890258789
1775839374168147,2250591783,15,100,118.5796890258789
1775839374184214,2250621782,16,100,118.5796890258789
1775839374232150,2250651783,15,100,118.5796890258789
